"","V1","V2","V3","V4","V5"
"1",0.436440677966102,0.216101694915254,0.156779661016949,0.0932203389830508,0.0974576271186441
"2",0.202453987730061,0.239263803680982,0.251533742331288,0.153374233128834,0.153374233128834
"3",0.0811808118081181,0.107011070110701,0.494464944649447,0.121771217712177,0.195571955719557
"4",0.155,0.255,0.265,0.15,0.175
"5",0.0967741935483871,0.150537634408602,0.510752688172043,0.123655913978495,0.118279569892473
"6",0.199134199134199,0.155844155844156,0.341991341991342,0.138528138528139,0.164502164502165
"7",0.172690763052209,0.196787148594378,0.112449799196787,0.353413654618474,0.164658634538153
"8",0.271844660194175,0.189320388349515,0.131067961165049,0.300970873786408,0.106796116504854
"9",0.147058823529412,0.485294117647059,0.112745098039216,0.142156862745098,0.112745098039216
"10",0.114754098360656,0.118032786885246,0.111475409836066,0.147540983606557,0.508196721311475
"11",0.105042016806723,0.176470588235294,0.100840336134454,0.491596638655462,0.126050420168067
"12",0.109704641350211,0.189873417721519,0.135021097046413,0.426160337552743,0.139240506329114
"13",0.485074626865672,0.149253731343284,0.130597014925373,0.0858208955223881,0.149253731343284
"14",0.353293413173653,0.203592814371257,0.227544910179641,0.11377245508982,0.101796407185629
"15",0.111111111111111,0.150793650793651,0.107142857142857,0.468253968253968,0.162698412698413
"16",0.1875,0.168269230769231,0.120192307692308,0.139423076923077,0.384615384615385
"17",0.14468085106383,0.429787234042553,0.178723404255319,0.106382978723404,0.140425531914894
"18",0.167381974248927,0.304721030042918,0.266094420600858,0.128755364806867,0.133047210300429
"19",0.219047619047619,0.215873015873016,0.104761904761905,0.285714285714286,0.174603174603175
