"","‘leapt","‘plandoreview’","ability","able","accident","accidentat","accidenton","accidentswindon","accidentthe","action","adequately","adherence","affecting","afternoon","agreed","air","air’","allowing","although","anything","application","applied","applies","apply","appreciation","approach","approaching","approximately","area","around","ask","asked","aspect","assemblies","assurance","authorise","authorised","authoritynetwork","authorityunable","automatically","avoid","aware","back","bad","ballast","bar","baseplate","basic","basis","behaviour","believed","beyond","bike","bikers","bikes","board","bolts","box","boxunable","brake","brakes","briefing","bright","broken","buckle","buckling","button","cab","call","called","came","cancelled","cardiff","carry","carrying","caused","caution","certified","check","checked","clamping","class","clear","climbing","close","closing","coil","collision","collisionbetweentrainandtractor","combined","communication","communicationthe","competent","complete","completed","concluded","condition","conditiona","confirm","connections","considered","consistent","conspicuity","construction","contacted","continually","continued","continuous","continuously","controlling","correctly","corresponding","cover","crew","cross","crossing","crossingthe","crt","damage","danger","dark","database","date","day","daylight","decided","degraded","depart","depot","derailed","derailment","derailmentatgrayrigg","derailmentatknaresborough","derailmentofa","design","designthe","detect","deteriorating","discover","discovered","discuss","discussion","display","displaying","disruption","distance","distant","divided","door","dragged","driven","driver","driving","dry","due","effective","effectiveness","eight","either","embankment","emergency","enviroment","enviromentit","enviromentthe","eqhardware","even","examine","exceeded","exceeds","excess","exhibited","expected","expecting","experienced","explain","explained","express","extend","extra","factor","factors","factorsthe","failed","failure","failures","fasteners","fatally","fault","february","fell","fgw","figure","find","first","five","following","force","forgot","formation","found","four","frampton","free","freight","freighttrain","friction","full","fully","gap","gates","geometry","gloucester","goalsthere","grayrigg","guidelines","hand","hardwareequipment","hardwareequipmentthe","harrogate","hazard","held","high","higher","holes","horn","hot","hottest","housekeeping","hrs","hurt","identified","identify","illuminated","immediate","inch","incidents","include","included","incompatable","increase","indicates","indicating","indication","indicator","indicators","influence","informationthe","injured","injury","inspection","installed","instruction","insufficient","intended","interfaces","interlock","intermittent","interpreted","involved","joint","june","kkk","kmh","knaresborough","knottingley","knowing","known","lack","lambrigg","lamp","lamps","langworth","lateral","laterally","leaves","lefthand","length","less","level","lever","levers","light","likely","limit","lincoln","line","lines","load","local","lock","log","lom","long","look","loosely","lost","lubrication","made","maintainance","maintancemanagement","maintenance","manage","management","managementthe","manager","may","mayfatalaccidentateramptonlevelcrossing","meant","mechanical","meeting","mentioned","metres","might","misalignment","missing","mom","morning","motion","motorcycle","move","moving","mph","msl","msls","must","near","need","neither","network","new","nine","noone","normal","northeast","notes","now","nuts","object","occurred","occurs","offered","omission","omitted","onto","open","operate","operated","operator","opportunity","order","organizational","originally","paragraph","partially","participate","pass","passed","passenger","passenger’s","passengers","passengertrapped","path","peak","pendolino","performance","period","permanent","permitted","persoanlthe","personalone","personalthe","personathe","pipe","place","placed","places","points","pointsis","poor","position","possible","post","precaution","preexisting","preparing","presence","present","prior","probable","probably","procedure","procedurethe","proceed","processes","promoted","proof","propelled","proximity","pulled","pulling","radio","rail","rail’s","rails","railway","ran","reached","reaching","react","realise","reason","recalled","received","recheck","recognise","recorded","recreate","red","referred","reinstate","relevant","remained","remedial","replaced","reported","reprioritised","research","resident","residents","respond","restrain","result","resulted","reverse","reverted","rider","riders","ridersthe","righthand","risk","roadside","rostered","route","safe","safely","safety","saturday","saw","scheduled","seat","second","seconds","section","see","sequence","sequential","service","services","set","severed","shift","sick","side","sides","sighting","sign","signal","signaller","signallers","signalling","signals","signs","simultaneously","single","site","someone","something","sounded","specific","specifically","speed","spring","staff","standard","start","started","stated","steadily","still","stop","stopped","stowmarketsuggesting","stress","stressing","stretcher","strike","struck","struggling","subsequently","sufficient","sunday","supervisionmaintenance","supervisionmanagement","supervisionmanagementthe","supervisor","supervisory","supervsionfgw’s","switch","system","taken","technicalhaqrdwarethe","telephone","temperature","tha","third","three","time","times","toe","took","track","tractor","trail","train","train’s","training","trainingexperiencethe","trainingknowledge","trainingrealising","trains","trapped","travelling","tuesday","turned","two","twominute","type","unable","unauthorised","underlying","underresourced","undertake","unit","unsafe","untoward","unwinding","upcoming","use","used","using","vehicles","vicinity","visibility","visual","vulnerability","vulnerable","wagons","wait","warning","washers","way","weather","week","whistle","whitworth","within","worcester","words","work","working","workloadduring","wrong","year"
"1",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,9,5,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"2",0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"3",1,1,0,0,3,0,1,0,0,2,0,0,0,1,2,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,4,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,1,1,0,0,4,1,0,1,0,0,1,0,1,1,0,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,5,0,0,0,1,0,0,1,0,1,6,0,0,2,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,1,0,1,0,1,1,0,4,1,2,0,0,0,0,3,0,1,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,1,1,1,1,0,0,0,0,2,1,0,2,0,0,0,0,0,1,5,0,1,0,1,1,0,0,3,1,1,0,0
"4",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,7,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2
"6",0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,2,1,0,0,1,1,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,3,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,3,2,4,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,4,1,1,1,0,2,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,10,2,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,2,0,2,2,0,0,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,3,1,0,0,0,0,20,10,1,0,3,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
